Status Info,,,,,,,,,Reference Info,,,,,Pair Info,,,,X INFO,,,,,,,,,,,,,,Y INFO,,,,,,,,,,,,,,Type Info,,,,
Status,RV,UV,Stage,X,Y,T,Confidence,,Book,Ch,Entry,PV,,P.X,P.T,P.Y,,X.status,X.con,X.type,X.key,X.keys,X.int,X.ref,X.group,X.root,X.context,X.mode,X.gen,X.notes,,Y.status,Y.con,Y.type,Y.key,Y.keys,Y.int,Y.ref,Y.group,Y.root,Y.context,Y.mode,Y.gen,Y.notes,,T.type,T.polarity,T.mode,T.tag,T.notes
P,,,,,,,,,pro,1,1-4,"1,3",,,,,,,,,Proverbs,,,Proverbs,Word of God,the Proverbs of Solomon,,,"of Solomon, Proverbs of Solomon (if scripture/God's word)",,,,,,righteousness,"righteousness, justice, uprightness",,justice,righteousness,justice,,receive the instruction of,,,,,,,,
P,,,,,,,,,pro,1,1-4,"1,3",,,,,,,,,Proverbs,,,Proverbs,Word of God,the Proverbs of Solomon,,,"of Solomon, Proverbs of Solomon (if scripture/God's word)",,,,,,justice,"justice, judgement",,judgement,righteousness,judgement,,receive the instruction of,,,,,,,,
P,,,,,,,,,pro,1,1-4,"1,3",,,,,,,,,Proverbs,,,Proverbs,Word of God,the Proverbs of Solomon,,,"of Solomon, Proverbs of Solomon (if scripture/God's word)",,,,,,equity,"equity, fairness",,equity,righteousness,equity,,receive the instruction of,,,,,,,,
P,,,,,,,,,pro,1,1-4,"1,4",,,,,,,,,Proverbs,,,Proverbs,Word of God,the Proverbs of Solomon,,,"of Solomon, Proverbs of Solomon (if scripture/God's word)",,,,,,prudence,"prudence, subtilty",,subtilty ,wisdom,subtilty ,,,of the simple,,,,,,,
P,,,,,,,,,pro,1,1-4,"1,4",,,,,,,,,Proverbs,,,Proverbs,Word of God,the Proverbs of Solomon,,,"of Solomon, Proverbs of Solomon (if scripture/God's word)",,,,,,knowledge,,,,wisdom,knowledge,,,of young man,,,,,,,
P,,,,,,,,,pro,1,1-4,"1,4",,,,,,,,,Proverbs,,,Proverbs,Word of God,the Proverbs of Solomon,,,"of Solomon, Proverbs of Solomon (if scripture/God's word)",,,,,,discretion,"discretion, discernment",,discretion,wisdom,discretion,,,of young man,,,,,,,
IP,,,,,,,,,pro,1,5-6/1-6,"1 or 6?, 5",,,,,,,,,,,"Proverbs (if 1), understanding Proverbs/wisdom (if 6), ",,Word of God/understanding,"the Proverbs of Solomon (1) / to understand a proverb, and the... ",,,,"wisdom - hear, wisdom - learning, understanding - wisdom/counsel, Proverb/understand Proverb - learning & wisdom/counsel,... ",,,,,"hear,learning,...",,,,?? ,,,,,"wisdom - hear, wisdom - learning, understanding - wisdom/counsel, Proverb/understand Proverb - learning & wisdom/counsel,... ",,,,,,
IP,,,,,,,,,pro,1,5-6/1-6,"1 or 6?, 5",,,,,,,,,,,"Proverbs (if 1), understanding Proverbs/wisdom (if 6), ",,Word of God/understanding,"the Proverbs of Solomon (1) / to understand a proverb, and the... ",,,,"wisdom - hear, wisdom - learning, understanding - wisdom/counsel, Proverb/understand Proverb - learning & wisdom/counsel,... ",,,,,"hear,learning,...",,,,?? ,,,,,"wisdom - hear, wisdom - learning, understanding - wisdom/counsel, Proverb/understand Proverb - learning & wisdom/counsel,... ",,,,,,
P,,,,,,,,,pro,1,7,7,,,,,,,,,reverence,"fear, reverence",,fear,reverence,fear of the LORD,,,of the LORD,,,,,,,,,,wisdom,beginning of knowledge,,the beginning/source of,,,,,,,,
IP,,,,,,,,,pro,1,8-9,"8,9",,,,,,,,,instruction,"instruction, (heed) law/obedience ",,"instruction, law","guidance, guidance/obedience","hear the instruction of thy father, forsake not the law of thy mother",,"hear, forsake not (/heed?)","of father, of mother",combine both instruction of father & teaching of mother? ,,,,,?? ,,honor/wealth/status? ,,?? ,"an ornament of grace unto thy head, chains about thy neck",,,,"combine both, unless different depending on interpretation",,,,,,
F,,,,,,,,,pro,1,10-19,"10,15",,,,,,,,,?? ,,resist temptation,,?? ,,,,,"command, different type? ",,,,,bad things avoided,,,,?? ,,,,,,,,,,,"command, and avoid"
P,,,,,,,,,pro,1,(20-)23,23,,,,,,,,,correction,"reproof, correction, rebuke, discipline",,reproof,guidance,reproof,,turn to,from wisdom,,,,,,Holy Spirit,,,,Holy Spirit,pour out my spirit unto you,,pour out unto,of Wisdom,,,,,,,
P,,,,,,,,,pro,1,(20-)23,23,,,,,,,,,correction,"reproof, correction, rebuke, discipline",,reproof,guidance,reproof,,turn to,from wisdom,,,,,,,,wisdom,,wisdom,pour out my spirit unto you,,pour out spirit of,of Spirit,"interpreted, need validation ",,,,,,
P,,,,,,,,,pro,1,(20-)23,23,,,,,,,,,repentance,,,,repentance,turn you at my reproof,,,from wisdom,,,,,,knowledge,,,,wisdom,make known my words unto you,,words,word of God and of wisdom,,,,,,,
P,,,,,,,,,pro,1,(20-)23,23,,,,,,,,,repentance,,,,repentance,turn you at my reproof,,,from wisdom,,,,,,,,wisdom,,wisdom,make known my words unto you,,make words known,of Wisdom,"interpreted, need validation ",,,,,,
P,,,,,,,,,pro,1,31-33,33,,,,,,,,,listening,"listening, heedance, obedience, consideration, mindfulness",,listening,guidance,hearkeneth unto me,,,from wisdom,IM: add wisdom from interpretation as well? ,,,,,safety,"safety, security, peace",,safety,safety,dwell safely,,live/dwell,,,,,,,,(listen to) wisdom?; combine with next as safety/security/peace? 
P,,,,,,,,,pro,1,31-33,33,,,,,,,,,listening,"listening, heedance, obedience, consideration, mindfulness",,listening,guidance,hearkeneth unto me,,,from wisdom,IM: add wisdom from interpretation as well? ,,,,,peace,"quiet, ease, security",peace,quiet,peace,be quiet from fear of evil,,without fear of evil,,AR: free of fear/evil specifically separate Y? ,,,,,,(listen to) wisdom?; combine with next as safety/security/peace? 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,pro,2,1-,1,,,,,,,,,receptivity & Word of God,,,,guidance,,,,,,,,,,discernment/understanding (of reverence),,,,wisdom,,,,,,,,,,,
P,,,,,,,,,pro,2,1-,1,,,,,,,,,receptivity & Word of God,,,,guidance,,,,,,,,,,revelation & knowledge (of God),,,,wisdom,,,,,,,,,,,
P,,,,,,,,,pro,2,1-,1,,,,,,,,,?? & instruction,"teachability, instruction, heedance, obedience, etc",,,guidance,,,,,,,,,,discernment/understanding (of reverence),,,,wisdom,,,,,,,,,,,
P,,,,,,,,,pro,2,1-,1,,,,,,,,,?? & instruction,"teachability, instruction, heedance, obedience, etc",,,guidance,,,,,,,,,,revelation & knowledge (of God),,,,wisdom,,,,,,,,,,,
IP,,,,,,,,,pro,2,1-,2,,,,,,,,,?? & wisdom,"listening, attentiveness, heedance, receptivity, pursuit",,,pursuit,,,listen to,of wisdom,,,,,,discernment/understanding (of reverence),,,,wisdom,,,,,,,,,,,
IP,,,,,,,,,pro,2,1-,2,,,,,,,,,?? & wisdom,"listening, attentiveness, heedance, receptivity, pursuit",,,pursuit,,,listen to,of wisdom,,,,,,revelation & knowledge (of God),,,,wisdom,,,,,,,,,,,
IP,,,,,,,,,pro,2,1-,2,,,,,,,,,?? & understanding,"set heart/desire to (wisdom), attentiveness, heedance, receptivity, pursuit",,,pursuit,,,set heart on,of understanding,,,,,,discernment/understanding (of reverence),,,,wisdom,,,,,,,,,,,
IP,,,,,,,,,pro,2,1-,2,,,,,,,,,?? & understanding,"set heart/desire to (wisdom), attentiveness, heedance, receptivity, pursuit",,,pursuit,,,set heart on,of understanding,,,,,,revelation & knowledge (of God),,,,wisdom,,,,,,,,,,,
P,,,,,,,,,pro,2,1-,3,,,,,,,,,supplication & ?? ,"pursuit, pleading, seek desperately word? & discernment/knowledge",,,supplication,,,,,CG,,,,,discernment/understanding (of reverence),,,,wisdom,,,,,,,,,,,
P,,,,,,,,,pro,2,1-,3,,,,,,,,,supplication & ?? ,"pursuit, pleading, seek desperately word? & discernment/knowledge",,,supplication,,,,,CG,,,,,revelation & knowledge (of God),,,,wisdom,,,,,,,,,,,
P,,,,,,,,,pro,2,1-,3,,,,,,,,,supplication & understanding,lift voice for,,,supplication,,,,,CG,,,,,discernment/understanding (of reverence),,,,wisdom,,,,,,,,,,,
P,,,,,,,,,pro,2,1-,3,,,,,,,,,supplication & understanding,lift voice for,,,supplication,,,,,CG,,,,,revelation & knowledge (of God),,,,wisdom,,,,,,,,,,,
IP,,,,,,,,,pro,2,1-,4,,,,,,,,,"pursuit & ""her""/wisdom",,,,pursuit,,,,,,,,,,discernment/understanding (of reverence),,,,wisdom,,,,,,,,,,,
IP,,,,,,,,,pro,2,1-,4,,,,,,,,,"pursuit & ""her""/wisdom",,,,pursuit,,,,,,,,,,revelation & knowledge (of God),,,,wisdom,,,,,,,,,,,
IP,,,,,,,,,pro,2,1-,4,,,,,,,,,"pursuit & ""her""/wisdom",,,,pursuit,,,,,,,,,,discernment/understanding (of reverence),,,,wisdom,,,,,,,,,,,
IP,,,,,,,,,pro,2,1-,4,,,,,,,,,"pursuit & ""her""/wisdom",,,,pursuit,,,,,,,,,,revelation & knowledge (of God),,,,wisdom,,,,,,,,,,,
P,,,,,,,,,pro,2,,6,,,,,,,,,Word of God,,,,Word of God,,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,,
P,,,,,,,,,pro,2,,6,,,,,,,,,Word of God,,,,Word of God,,,,,,,,,,knowledge,,,,wisdom,,,,,,,,,,,
P,,,,,,,,,pro,2,,6,,,,,,,,,Word of God,,,,Word of God,,,,,,,,,,understanding,,,,wisdom,,,,,,,,,,,
P,,,,,,,,,pro,2,,7,,,,,,,,,?? ,"righteousness, uprightness",,,,,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,,
P,,,,,,,,,pro,2,,7,,,,,,,,,?? ,"integrity, uprightness",,,,,,,,,,,,,protection,,,,,,,,,,,,,,,
IP,,,,,,,,,pro,2,,8,,,,,,,,,?? ,"justice, judgement",?? ,,,,,,,,,,,,?? ,"protection, ""guarding""",int guidance or provision? ,,,,,,,,,,,,,
P,,,,,,,,,pro,2,,8,,,,,,,,,?? ,"godliness, holiness, etc",,,,,,,,,,,,,preservation,,,,,,,,,,,,,,,
IP,,,,,,,,,pro,2,,"??,9",,,,,,,,,?? ,,,,,,,,,,,,,,discernment/understanding,,,,,,,,,,,,,,,
IP,,,,,,,,,pro,2,,"??,9",,,,,,,,,?? ,,,,,,,,,,,,,,righteousness,,,,righteousness,,,,,,,,,,,
IP,,,,,,,,,pro,2,,"??,9",,,,,,,,,?? ,,,,,,,,,,,,,,justice,,,,righteousness,,,,,,,,,,,
IP,,,,,,,,,pro,2,,"??,9",,,,,,,,,?? ,,,,,,,,,,,,,,equity,,,,righteousness,,,,,,,,,,,
IP,,,,,,,,,pro,2,,"??,9",,,,,,,,,?? ,,,,,,,,,,,,,,?? ,,"guidance, prudence, discernment, decision; essentially wraps up rest of verse",,,,,,,,,,,,,
IP,,,,,,,,,pro,2,,"??,10",,,,,,,,,wisdom (in desires?),,,,,,,,,,,,,,9?,,,,,,,,,,,,,,,
IP,,,,,,,,,pro,2,,"??,10",,,,,,,,,9?,,,,,,,,,,,,,,wisdom (in desires?),,,,,,,,,,,,,,,
IP,,,,,,,,,pro,2,,"??,10",,,,,,,,,knowledge? ,,,,,,,,,,,,,,pleasure,,,,,,,,,,,,,,,
IP,,,,,,,,,pro,2,,"??,10",,,,,,,,,pleasure (in knowledge)?,,,,,,,,,,,,,,9?,,,,,,,,,,,,,,,
P,,,,,,,,,pro,2,,11,,,,,,,,,discretion,,,,wisdom,,,,,,,,,,?? ,"protection, preservation, guarding",,,,,,,,,,,,,,
P,,,,,,,,,pro,2,,11,,,,,,,,,understanding,,,,wisdom,,,,,,,,,,?? ,"protection, preservation, guarding",,,,,,,,,,,,,,
IP,,,,,,,,,pro,2,,"??,12",,,,,,,,,?? ,,,,,,,,,,,,,,"deliverance (from bunch of different bad things, all one?)",,,,,,,,,,,,,,,
IP,,,,,,,,,pro,2,,"??,16",,,,,,,,,?? ,,,,,,,,,,,,,,"deliverance (from temptation, purity?)",,,,,,,,,separate from 12?,,,,,,
IP,,,,,,,,,pro,2,,"??,20",,,,,,,,,?? ,,,,,,,,,,,,,,(way of) good/upright/just,,,,,,,,,,,,,,,
IP,,,,,,,,,pro,2,,"??,20",,,,,,,,,?? ,,,,,,,,,,,,,,(paths of) righteousness,,,,,,,,,,,,,,,
P,,,,,,,,,pro,2,-22,21,,,,,,,,,uprightness,,,,,,,,,,,,,,establishment,,,,,,,,,,,,,,,
P,,,,,,,,,pro,2,-22,22,,,,,,,,,?? ,"blamelessness, perfection,",holinessñ,,righteousness,,,,,,,,,,preservation,,,,,,,,,CG,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,pro,3,1-2,"1,2",,,,,,,,,?? ,,"instruction, guidance, Word of God? ","law, teaching",guidance,law,,not forget,of father,"CK, literal or int",,,,,life,,,,salvation (/provision?),"length of days, and long life",,,,and long days (int time?) separate? CG,,,,,,
P,,,,,,,,,pro,3,1-2,"1,2",,,,,,,,,?? ,,"instruction, guidance, Word of God? ","law, teaching",guidance,law,,not forget,of father,"CK, literal or int",,,,,peace,,,,peace,peace,,,,CG,,,,,,
IP,,,,,,,,,pro,3,1-2,"1,2",,,,,,,,,not forget,,"remembering, value/treasure other places",,pursuit,forget not,,,"law, teaching","own pair, or mode? IM, or CG",,,,,life,,,,salvation (/provision?),"length of days, and long life",,,,and time? separate? CG,,,,,,
IP,,,,,,,,,pro,3,1-2,"1,2",,,,,,,,,not forget,,"remembering, value/treasure other places",,pursuit,forget not,,,"law, teaching","own pair, or mode? IM, or CG",,,,,peace,,,,peace,peace,,,,CG,,,,,,
P,,,,,,,,,pro,3,1-2,"1,2",,,,,,,,,?? ,,"instruction, guidance, Word of God? ",,guidance,commandments,,to keep,of father,"CK, literal or int",,,,,life,,,,salvation (/provision?),"length of days, and long life",,,,and long days (int time?) separate? CG,,,,,,
P,,,,,,,,,pro,3,1-2,"1,2",,,,,,,,,?? ,,"instruction, guidance, Word of God? ",,guidance,commandments,,to keep,of father,"CK, literal or int",,,,,peace,,,,peace,peace,,,,CG,,,,,,
P,,,,,,,,,pro,3,1-2,"1,2",,,,,,,,,obedience,,"obedience, heedance",keep commandments,righteousness,keep my commandments,,"with heart, desires",commandments,"own pair, or mode? and also, heart=desires additional pair? CG",,,,,life,,,,salvation (/provision?),"length of days, and long life",,,,and time? separate? CG,,,,,,
P,,,,,,,,,pro,3,1-2,"1,2",,,,,,,,,obedience,,"obedience, heedance",keep commandments,righteousness,keep my commandments,,"with heart, desires",commandments,"own pair, or mode? and also, heart=desires additional pair? CG",,,,,peace,,,,peace,peace,,,,CG,,,,,,
,,,,,,,,,pro,3,3-4,"3,4",,,,,,,,,?? ,"kindness, mercy","heedance, others similar",,righteousness,mercy,,bound by neck and heart,,different modes important to distinguish? ,,,,,favor,,,,?? ,find favour,,,,CG,,,,,,kinda int for KJV
,,,,,,,,,pro,3,3-4,"3,4",,,,,,,,,?? ,"kindness, mercy","heedance, others similar",,righteousness,mercy,,bound by neck and heart,,different modes important to distinguish? ,,,,,reputation,,,,?? ,good understanding in the sight of God and man,,,,CG,,,,,,kinda int for KJV
,,,,,,,,,pro,3,3-4,"3,4",,,,,,,,,truth,,honesty/integrity? ,,righteousness,truth,,bound by neck and heart,,,,,,,favor,,,,?? ,find favour,,,,CG,,,,,,kinda int for KJV
,,,,,,,,,pro,3,3-4,"3,4",,,,,,,,,truth,,honesty/integrity? ,,righteousness,truth,,bound by neck and heart,,,,,,,reputation,,,,?? ,good understanding in the sight of God and man,,,,CG,,,,,,kinda int for KJV
,,,,,,,,,pro,3,5-6 (-8?),"5,6",,,,,,,,,trust,,,,faith,trust in the LORD,,,,,,,,,guidance,"guidance, straight paths",,,guidance,direct thy paths,,,,"maybe reliance on God in 5 is a deep Y? I think grammatically/literarily it could, but from my experience/familiarity with Proverbs it likely isn't",,,,,,
,,,,,,,,,pro,3,5-6 (-8?),"5,6",,,,,,,,,humility,,,,righteousness,lean not unto thine own understanding,,to lean on,own understanding?,CG,,,,,guidance,"guidance, straight paths",,,guidance,direct thy paths,,,,,,,,,,
,,,,,,,,,pro,3,5-6 (-8?),"5,6",,,,,,,,,acknowledgement,,"righteousness, pursuit, godliness, reverence, submission, obedience ""seeking His will in actions/choices/life""",,pursuit/righteousness/guidance/reference/etc,in all thy ways acknowledge him,,,,IM,,,,,guidance,"guidance, straight paths",,,guidance,direct thy paths,,,,,,,,,,
,,,,,,,,,pro,3,(5-?)7-8,"7,8",,,,,,,,,humility,,,,righteousness,Be not wise in thine own eyes,,in own eyes,own wisdom? ,"int, maybe something other than humility? ",,,,,healing,,,,health/refreshment,,,,,CG,,,,,,
,,,,,,,,,pro,3,(5-?)7-8,"7,8",,,,,,,,,humility,,,,righteousness,Be not wise in thine own eyes,,in own eyes,own wisdom? ,"int, maybe something other than humility? ",,,,,?? ,"refreshment, strength",,,health/refreshment,,,,,CG,,,,,,
,,,,,,,,,pro,3,(5-?)7-8,"7,8",,,,,,,,,reverence,"reverence, fear",,,reverence,fear the Lord,,,,CG,,,,,healing,,,,health/refreshment,,,,,CG,,,,,,
,,,,,,,,,pro,3,(5-?)7-8,"7,8",,,,,,,,,reverence,"reverence, fear",,,reverence,fear the Lord,,,,CG,,,,,?? ,"refreshment, strength",,,health/refreshment,,,,,CG,,,,,,
,,,,,,,,,pro,3,(5-?)7-8,"7,8",,,,,,,,,repentance,,repentance,,repentance,depart from evil,,,,CG,,,,,healing,,,,health/refreshment,,,,,CG,,,,,,
,,,,,,,,,pro,3,(5-?)7-8,"7,8",,,,,,,,,repentance,,repentance,,repentance,depart from evil,,,,CG,,,,,?? ,"refreshment, strength",,,health/refreshment,,,,,CG,,,,,,
,,,,,,,,,pro,3,9-10,"9,10",,,,,,,,,?? ,,generosity/sacrifice/tithe (honor the LORD from wealth),,?? ,"Honour the Lord with thy substance, and with the firstfruits of all thine increase:",,,,"split up honor and generosity/sacrifice? split up of wealth/first fruits (maybe if so, generosity for wealth and sacrifice/trust for first fruits?)",,,,,?? ,,wealth/provisions,,wealth/provision,,,,,"split up, or no real contextually meaning difference (wealth vs provision)",,,,,,
,,,,,,,,,pro,3,11-12,12,,,,,,,,,love,,,,love,whom the Lord loveth,,,of GOD,AR,,,,,correction,"correction, reproof",,,guidance,,,,,,,,,,,could flip (or add separate) by including 11 and interpreting as accept (or not reject/hate) discipline/correction -> God's love/delight
,,,,,,,,,pro,3,11-12,12,,,,,,,,,delight,,,,joy,the son in whom he delighteth,,,of father,AR,,,,,correction,,,,guidance,,,,,,,,,,,could flip (or add separate) by including 11 and interpreting as accept (or not reject/hate) discipline/correction -> God's love/delight
,,,,,,,,,pro,3,13-18,13,,,,,,,,,wisdom,,,,wisdom,findeth wisdom,,,,,,,,,?? ,"happiness, blessing, ",,,joy/blessing,,,,,,,,,,,
,,,,,,,,,pro,3,13-18,13,,,,,,,,,understanding,,,,wisdom,getteth understanding,,,,,,,,,?? ,"happiness, blessing, ",,,joy/blessing,,,,,,,,,,,
,,,,,,,,,pro,3,13-18,"13,14",,,,,,,,,wisdom,,,,wisdom,findeth wisdom | getteth understanding,,,,"""her"", validate",,,,,profit,"profit, merchandise",,,wealth/provision,the merchandise of it,,,,"or just ""better""",,,,,,"if better, need to decide"
,,,,,,,,,pro,3,13-18,"13,14",,,,,,,,,wisdom,,,,wisdom,findeth wisdom | getteth understanding,,,,"""her"", validate",,,,,wealth,,,,wealth/provision,the gain thereof,,,,"or just ""better""",,,,,,"if better, need to decide"
F,,,,,,,,,pro,3,13-18,"13,15",,,,,,,,,wisdom,,,,wisdom,findeth wisdom | getteth understanding,,,,"""she"", validate",,,,,value,,,,wealth/provision,is more precious than rubies: and all the things thou canst desire are not to be compared,,,,x2? ,,,,,,
,,,,,,,,,pro,3,13-18,"13,16",,,,,,,,,wisdom,,,,wisdom,findeth wisdom | getteth understanding,,,,"""she"", validate",,,,,life,,,,life,"""length of days"", ""riches"", ""honour"", ""pleasantness"", ""peace"", ""tree of life"", ""happy"" ",,,,and time like before? ,,,,,,
,,,,,,,,,pro,3,13-18,"13,16",,,,,,,,,wisdom,,,,wisdom,findeth wisdom | getteth understanding,,,,"""she"", validate",,,,,riches,,,,wealth/provision,,,,,,,,,,,
,,,,,,,,,pro,3,13-18,"13,16",,,,,,,,,wisdom,,,,wisdom,findeth wisdom | getteth understanding,,,,"""she"", validate",,,,,honor,,,,honor,,,,,,,,,,,
,,,,,,,,,pro,3,13-18,"13,17",,,,,,,,,wisdom,,,,wisdom,findeth wisdom | getteth understanding,,,,,,,,,pleasure,,,,?? ,,,,,CG,,,,,,
,,,,,,,,,pro,3,13-18,"13,17",,,,,,,,,wisdom,,,,wisdom,findeth wisdom | getteth understanding,,,,,,,,,peace,,,,peace,,,,,,,,,,,
,,,,,,,,,pro,3,13-18,"13,18",,,,,,,,,wisdom,,,,wisdom,findeth wisdom | getteth understanding,,,,,,,,,life,,,,life,,,,,,,,,,,
,,,,,,,,,pro,3,13-18,"13,18",,,,,,,,,wisdom,,,,wisdom,findeth wisdom | getteth understanding,,,,,,,,,happiness,,,,joy,,,,,,,,,,,
F,,,,,,,,,pro,3,13-18,18,,,,,,,,,pursuit ,,"(take hold of & hold/retain, of wisdom, like treasure in ch2)",,pursuit,lay hold upon her | retaineth,,,,"also deeper int ""pursuit"" too? ",,,,,?? ,,,,?? ,,,,,,,,,,,
F,,,,,,,,,pro,3,19-20,19,,,,,,,,,"wisdom, understanding, knowledge",,,,wisdom,,,by/through/using,of God,,,,,,"establishment (of earth, heavens, depths, sky)",,,,provision,,,establishment,,"different scope, but cool idea and may be able to apply generally",,,,,,
F,,,,,,,,,,,(19-?)21-24,21-22,,,,,,,,,?? ,,"awareness, pursuit; keep for second part? ",,pursuit,,,,,,,,,,?? ,,"same 6 as below? not wisdom & discretion, right? ",,?? ,,,,,,,,,,,
,,,,,,,,,pro,3,(19-?)21-24,21,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,salvation,"life, salvation","(to soul, salvation?)",,salvation,,,,,,,,,,,
,,,,,,,,,pro,3,(19-?)21-24,21,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,?? ,"grace, ",honor/wealth/status? ,,?? ,,,,,,,,,,,
,,,,,,,,,pro,3,(19-?)21-24,21,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,?? ,"safety, security",,,salvation/peace? ,,,,,,,,,,,
,,,,,,,,,pro,3,(19-?)21-24,21,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,?? ,,not stumble (need int),,salvation/peace? ,,,,,,,,,,,
,,,,,,,,,pro,3,(19-?)21-24,21,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,peace,,no fear? ,,peace,,,,,,,,,,,
,,,,,,,,,pro,3,(19-?)21-24,21,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,rest,,rest,,rest,,,,,,,,,,,
,,,,,,,,,pro,3,(19-?)21-24,21,,,,,,,,,discretion,,,,wisdom,,,,,"maybe understanding, sometimes is? and would make more sense if 19-",,,,,salvation,"life, salvation","(to soul, salvation?)",,salvation,,,,,,,,,,,
,,,,,,,,,pro,3,(19-?)21-24,21,,,,,,,,,discretion,,,,wisdom,,,,,"maybe understanding, sometimes is? and would make more sense if 19-",,,,,?? ,"grace, ",honor/wealth/status? ,,?? ,,,,,,,,,,,
,,,,,,,,,pro,3,(19-?)21-24,21,,,,,,,,,discretion,,,,wisdom,,,,,"maybe understanding, sometimes is? and would make more sense if 19-",,,,,?? ,"safety, security",,,salvation/peace? ,,,,,,,,,,,
,,,,,,,,,pro,3,(19-?)21-24,21,,,,,,,,,discretion,,,,wisdom,,,,,"maybe understanding, sometimes is? and would make more sense if 19-",,,,,?? ,,not stumble (need int),,salvation/peace? ,,,,,,,,,,,
,,,,,,,,,pro,3,(19-?)21-24,21,,,,,,,,,discretion,,,,wisdom,,,,,"maybe understanding, sometimes is? and would make more sense if 19-",,,,,peace,,no fear? ,,peace,,,,,,,,,,,
,,,,,,,,,pro,3,(19-?)21-24,21,,,,,,,,,discretion,,,,wisdom,,,,,"maybe understanding, sometimes is? and would make more sense if 19-",,,,,rest,,rest,,rest,,,,,,,,,,,
,,,,,,,,,pro,3,25-26,25-26,,,,,,,,,?? ,,"do not be afraid: faith, trust, etc",,faith,,,,,"different pair relationship? but suggestive would make Y an int ""not"" instead; x2? ",,,,,?? ,,int security/peace/protection or guidance,,peace/trust/salvation? ,,,,from God,IM,,,,,,"different pair relationship? but suggestive would make Y an int ""not"" instead"
